0,2.00,12.00,3.20,7.80,1.90,11.70,4.58,12.50
0,4.50,8.60,6.50,16.70,6.90,11.70,8.10,15.10
0,3.70,10.80,8.60,7.20,3.60,12.80,6.80,6.20
0,3.40,8.80,7.50,13.00,3.90,12.00,9.40,13.70
0,2.60,11.00,6.60,13.70,2.60,9.10,5.10,7.70
0,4.20,12.90,8.20,12.70,3.60,9.10,7.70,9.40
0,5.80,7.60,6.30,9.60,3.70,9.10,7.40,6.70
0,4.10,6.10,7.20,12.00,2.60,9.60,7.30,9.90
0,4.00,6.20,5.60,8.90,2.30,8.70,5.50,8.00
0,6.40,7.00,6.30,8.30,5.70,8.30,7.60,10.90
0,4.70,11.60,8.00,11.50,5.00,10.00,7.60,13.50
0,3.60,6.60,4.00,5.20,2.80,9.10,5.60,12.60
0,2.40,10.30,8.90,5.90,3.70,11.90,9.30,8.50
0,3.10,7.20,6.50,9.10,3.40,5.70,6.60,9.90
0,2.20,6.50,5.10,9.80,3.40,8.30,7.60,7.20
0,3.00,11.10,9.60,11.80,2.60,8.20,6.80,9.70
0,4.00,9.10,6.30,6.50,4.40,8.50,5.00,7.50
0,4.70,9.90,9.70,11.80,5.00,7.30,8.00,9.80
0,3.70,8.90,7.60,13.20,2.20,10.30,7.40,6.80
0,2.50,11.10,7.55,8.18,2.54,12.57,7.48,13.10
0,2.80,8.90,7.00,7.60,4.00,8.40,7.70,4.10
0,5.10,8.30,5.80,9.10,4.80,9.50,7.60,13.20
0,4.20,10.30,8.00,8.60,5.40,10.70,8.20,7.20
0,2.90,9.10,7.20,9.10,2.90,5.40,4.70,6.50
0,3.40,10.30,6.65,6.98,2.80,11.80,7.40,9.50
0,1.90,11.10,6.50,4.40,2.90,12.90,4.40,11.30
0,3.90,8.40,6.90,8.30,2.30,7.70,7.00,7.40
1,2.60,7.00,6.50,9.10,2.70,5.50,5.10,6.90
1,4.00,8.50,8.60,9.10,3.60,6.80,5.40,7.20
1,3.20,9.30,8.40,7.00,2.10,9.20,10.00,8.90
1,2.38,11.00,8.70,12.90,3.10,8.17,6.79,10.31
1,3.50,9.25,6.49,8.00,4.10,10.59,7.25,6.19
1,5.20,4.50,4.90,4.90,4.30,4.20,4.00,7.6
1,4.10,5.80,5.70,7.40,4.00,5.10,6.10,9.60
1,5.00,5.40,7.80,5.90,4.90,7.80,5.90,6.20
1,3.4,5.70,8.20,8.80,3.30,8.20,9.10,9.60
1,3.10,7.70,6.90,6.30,3.30,6.60,8.20,8.40
1,4,5.80,6.60,16.80,3.92,5.10,5.50,12.00
1,4.60,8.30,7.90,9.00,3.40,6.80,3.50,10.30
1,3.60,5.90,12.00,17.00,4.60,6.95,8.80,9.50
1,4.10,6.40,8.60,11.70,4.10,8.40,10.50,5.90
1,2.00,8.30,8.10,10.70,2.20,8.80,8.60,10.30
1,2.10,3.70,7.95,8.19,3.05,5.30,5.59,4.97
1,4.00,4.70,5.70,6.00,4.10,5.60,6.00,6.00
1,4.80,6.60,7.30,9.00,4.00,8.70,6.80,9.70
1,3.90,5.60,6.40,8.10,3.90,7.80,6.00,5.20
1,3.36,6.87,6.11,7.36,3.17,7.56,7.21,7.30
1,4.11,5.80,5.60,5.70,4.00,2.77,6.05,7.40
1,4.57,5.59,4.89,6.92,4.25,4.24,5.14,5.11
1,3.80,5.90,5.10,7.70,3.80,7.75,6.76,10.84
1,3.90,4.60,5.70,7.80,4.00,6.90,4.80,5.10
1,6.20,7.60,3.60,13.40,5.10,4.90,7.40,18.70
1,5.40,5.10,5.10,8.50,5.70,3.44,5.90,16.20
1,3.50,6.32,10.54,13.30,4.10,5.80,13.30,17.90
1,3.20,6.48,5.90,8.90,4.20,4.98,6.38,7.88
1,3.80,4.89,6.43,11.00,3.50,5.67,2.41,27.30
1,6.10,3.61,5.15,13.50,6.00,4.00,5.80,7.60
1,4.30,7.00,6.80,5.20,4.60,8.00,8.80,8.10
1,3.74,5.60,6.30,6.10,4.20,6.30,6.10,8.50
1,5.00,7.10,8.70,6.20,5.80,7.10,6.00,8.80
1,2.73,6.30,6.80,7.20,2.20,5.80,7.80,7.40
1,3.10,5.50,6.50,7.20,2.20,5.50,4.70,4.50
1,2.90,8.20,7.70,6.50,2.10,5.80,8.00,11.80
1,4.60,6.50,5.90,7.80,4.60,6.00,7.80,8.70
1,2.95,4.90,3.80,8.30,3.80,6.60,6.70,5.20
1,4.60,6.50,5.90,7.80,4.60,6.00,7.80,8.70
1,4.10,7.80,6.00,12.50,3.50,7.20,6.70,5.40
1,4.70,6.60,5.70,7.00,3.50,6.40,6.10,5.90
1,4.10,5.80,5.50,7.30,3.80,6.60,5.10,6.90
1,2.60,7.00,5.50,7.50,2.70,7.10,7.00,5.70
1,5.10,5.10,6.50,8.20,3.70,7.40,8.60,8.40
1,2.40,7.90,9.20,8.90,1.40,4.60,7.10,7.00
1,2.60,7.40,6.20,9.10,1.60,7.30,7.80,8.60
1,1.90,5.50,6.10,7.30,1.40,7.40,9.20,8.60
1,3.30,4.70,6.90,7.70,5.50,4.60,6.20,4.00
1,3.70,5.20,4.90,4.90,3.70,4.90,4.50,6.10
1,5.00,7.20,6.30,5.30,4.50,9.40,8.90,10.00
1,4.20,4.90,4.70,9.40,3.90,4.20,4.70,9.60
1,2.75,8.50,9.90,11.50,3.57,5.90,6.40,8.30
1,2.90,8.20,6.50,6.60,2.70,5.80,6.50,6.50
1,4.70,6.91,12.00,15.90,3.80,5.53,5.21,13.20
1,3.60,7.29,7.07,16.63,5.20,6.55,7.30,22.00
1,3.50,6.80,6.10,12.20,4.20,4.30,4.80,6.70
1,3.50,4.88,7.75,14.90,4.20,4.70,9.70,16.80
1,4.70,5.98,12.50,26.00,3.20,12.60,9.10,5.30
1,2.40,7.60,6.70,8.60,2.90,8.70,8.60,7.90
1,3.40,7.60,4.70,5.20,3.00,5.60,4.70,6.70
1,4.10,6.20,6.40,4.70,3.60,5.00,3.80,3.60
1,4.00,5.40,8.20,8.00,3.80,7.00,6.80,5.80
1,2.70,8.80,7.20,6.30,2.90,6.20,5.00,4.20
1,3.00,9.50,9.50,9.20,2.80,8.30,9.00,10.20
1,4.40,5.90,6.00,7.90,2.80,5.80,4.40,5.00
1,4.20,7.40,9.90,8.00,4.70,6.70,9.00,4.60
1,2.60,7.70,5.10,8.20,3.30,4.40,3.90,3.30
1,4.60,6.30,7.70,6.40,3.20,7.70,6.60,4.90
1,5.40,7.40,5.20,6.50,3.60,6.30,7.80,7.50
1,3.50,6.60,7.20,8.60,4.10,5.40,7.60,5.10
1,1.90,7.00,8.40,4.90,1.90,7.90,5.30,2.00
1,3.80,6.80,9.40,10.30,3.60,6.50,6.80,12.70
1,6.10,8.10,10.70,15.00,6.80,6.20,12.30,12.10
1,2.30,6.40,3.60,5.20,2.75,6.10,5.80,5.40
1,2.80,6.00,9.30,14.00,3.45,6.90,9.70,12.90
1,4.30,6.20,10.40,14.60,3.60,6.00,10.10,9.70
1,2.40,4.50,3.80,3.50,2.50,6.80,10.40,4.30
1,4.70,5.20,8.90,10.90,4.50,5.10,6.70,9.20
1,4.30,6.40,8.50,12.30,4.50,6.70,9.00,8.70
1,2.40,6.30,6.00,13.00,3.80,5.90,4.60,10.50
1,4.60,8.80,7.00,13.20,4.00,8.30,5.20,6.40
1,5.50,6.30,4.90,4.50,3.70,4.50,7.50,8.90
